Instante,Posicao
0.0,0.0
0.011,0.0
0.021,0.0
0.03,0.0
0.041,0.0
0.05,0.0
0.061,0.0
0.093,0.001
0.094,0.001
0.094,0.001
0.1,0.001
0.111,0.001
0.121,0.001
0.13,0.001
0.141,0.001
0.15,0.002
0.16,0.002
0.197,0.003
0.198,0.003
0.199,0.003
0.201,0.003
0.215,0.003
0.225,0.003
0.231,0.003
0.241,0.003
0.251,0.003
0.261,0.003
0.29,0.004
0.293,0.004
0.294,0.004
0.301,0.004
0.311,0.004
0.325,0.004
0.33,0.004
0.341,0.004
0.35,0.004
0.36,0.004
0.392,0.005
0.393,0.005
0.393,0.005
0.4,0.005
0.411,0.005
0.426,0.005
0.43,0.005
0.441,0.005
0.45,0.005
0.46,0.005
0.494,0.006
0.495,0.006
0.495,0.006
0.5,0.006
0.511,0.006
0.521,0.006
0.53,0.006
0.541,0.006
0.55,0.007
0.561,0.007
0.59,0.007
0.593,0.007
0.594,0.007
0.6,0.007
0.611,0.007
0.626,0.008
0.63,0.008
0.641,0.008
0.65,0.008
0.66,0.008
0.683,0.008
0.684,0.008
0.703,0.008
0.704,0.008
0.71,0.008
0.721,0.008
0.73,0.009
0.741,0.009
0.75,0.009
0.761,0.009
0.793,0.009
0.798,0.01
0.799,0.01
0.8,0.01
0.811,0.01
0.821,0.01
0.83,0.01
0.841,0.01
0.85,0.01
0.86,0.01
0.889,0.011
0.889,0.011
0.89,0.011
0.9,0.011
0.911,0.011
0.921,0.011
0.93,0.011
0.941,0.011
0.95,0.011
0.96,0.011
0.984,0.011
0.985,0.011
0.992,0.011
1.0,0.012
1.011,0.012
1.025,0.012
1.03,0.012
1.041,0.012
1.05,0.012
1.061,0.012
1.087,0.012
1.088,0.012
1.093,0.013
1.103,0.013
1.111,0.013
1.123,0.013
1.13,0.013
1.141,0.013
1.15,0.013
1.161,0.013
1.193,0.014
1.194,0.014
1.195,0.014
1.2,0.014
1.211,0.014
1.224,0.014
1.23,0.014
1.241,0.014
1.25,0.014
1.26,0.014
1.303,0.015
1.304,0.015
1.304,0.015
1.304,0.015
1.314,0.016
1.322,0.016
1.33,0.016
1.341,0.016
1.35,0.016
1.361,0.016
1.388,0.016
1.389,0.016
1.39,0.016
1.403,0.017
1.413,0.017
1.423,0.017
1.43,0.017
1.441,0.017
1.45,0.017
1.461,0.017
1.483,0.017
1.483,0.017
1.505,0.018
1.506,0.018
1.51,0.018
1.521,0.018
1.53,0.018
1.541,0.018
1.55,0.018
1.561,0.018
1.596,0.019
1.597,0.019
1.598,0.019
1.601,0.019
1.611,0.019
1.621,0.019
1.63,0.019
1.641,0.019
1.65,0.019
1.66,0.019
1.685,0.02
1.686,0.02
1.696,0.02
1.701,0.02
1.711,0.02
1.721,0.02
1.73,0.02
1.741,0.02
1.75,0.02
1.761,0.02
1.79,0.021
1.791,0.021
1.792,0.021
1.8,0.021
1.811,0.021
1.821,0.021
1.83,0.021
1.841,0.021
1.85,0.021
1.861,0.021
1.883,0.022
1.884,0.022
1.909,0.022
1.911,0.022
1.911,0.022
1.927,0.022
1.93,0.022
1.941,0.022
1.95,0.022
1.961,0.023
1.971,0.023
1.991,0.023
1.991,0.023
2.001,0.023
2.02,0.023
2.021,0.023
2.03,0.023
2.041,0.023
2.05,0.023
2.061,0.024
2.083,0.024
2.084,0.024
2.104,0.024
2.105,0.024
2.111,0.024
2.121,0.024
2.13,0.024
2.141,0.024
2.152,0.024
2.161,0.025
2.193,0.025
2.194,0.025
2.194,0.025
2.201,0.025
2.214,0.025
2.225,0.025
2.23,0.026
2.241,0.026
2.25,0.026
2.261,0.026
2.288,0.026
2.288,0.026
2.298,0.026
2.301,0.026
2.311,0.026
2.325,0.027
2.33,0.027
2.341,0.027
2.35,0.027
2.361,0.027
