Instante,Posicao
0.0,0.0
0.015,0.019
0.021,0.027
0.032,0.041
0.064,0.082
0.065,0.083
0.065,0.083
0.071,0.091
0.081,0.104
0.091,0.117
0.103,0.132
0.116,0.149
0.121,0.155
0.131,0.168
0.161,0.207
0.162,0.208
0.165,0.212
0.171,0.22
0.181,0.232
0.194,0.249
0.201,0.258
0.212,0.272
0.221,0.284
0.231,0.297
0.268,0.344
0.269,0.345
0.27,0.347
0.27,0.347
0.285,0.366
0.293,0.376
0.302,0.388
0.312,0.401
0.321,0.412
0.353,0.453
0.354,0.454
0.355,0.456
0.365,0.469
0.371,0.476
0.381,0.489
0.393,0.504
0.401,0.515
0.411,0.528
0.421,0.54
0.432,0.555
0.471,0.605
0.471,0.605
0.472,0.606
0.472,0.606
0.481,0.617
0.493,0.633
0.501,0.643
0.511,0.656
0.521,0.669
0.531,0.682
0.555,0.712
0.556,0.714
0.587,0.754
0.587,0.754
0.588,0.755
0.597,0.766
0.603,0.774
0.617,0.792
0.621,0.797
0.631,0.81
0.662,0.85
0.666,0.855
0.667,0.856
0.671,0.861
0.681,0.874
0.697,0.895
0.701,0.9
0.711,0.913
0.721,0.926
0.731,0.938
0.799,1.026
0.8,1.027
0.8,1.027
0.801,1.028
0.801,1.028
0.802,1.03
0.802,1.03
0.811,1.041
0.821,1.054
0.831,1.067
0.841,1.08
0.854,1.096
0.874,1.122
0.875,1.123
0.881,1.131
0.897,1.151
0.901,1.157
0.911,1.169
0.921,1.182
0.931,1.195
0.968,1.243
0.97,1.245
0.97,1.245
0.97,1.245
0.981,1.259
0.994,1.276
1.001,1.285
1.011,1.298
1.021,1.311
1.031,1.323
1.065,1.367
1.065,1.367
1.066,1.368
1.072,1.376
1.082,1.389
1.094,1.404
1.11,1.425
1.111,1.426
1.121,1.439
1.131,1.452
1.169,1.501
1.17,1.502
1.17,1.502
1.171,1.503
1.181,1.516
1.193,1.531
1.201,1.542
1.211,1.555
1.221,1.567
1.231,1.58
1.268,1.628
1.269,1.629
1.269,1.629
1.27,1.63
1.281,1.644
1.291,1.657
1.301,1.67
1.312,1.684
1.321,1.696
1.331,1.709
1.369,1.757
1.369,1.757
1.37,1.759
1.371,1.76
1.381,1.773
1.396,1.792
1.401,1.798
1.412,1.813
1.421,1.824
1.431,1.837
1.456,1.869
1.456,1.869
1.465,1.881
1.472,1.89
1.481,1.901
1.491,1.914
1.501,1.927
1.511,1.94
1.521,1.953
1.531,1.965
1.57,2.015
1.57,2.015
1.571,2.017
1.571,2.017
1.587,2.037
1.599,2.053
1.599,2.053
1.612,2.069
1.621,2.081
1.631,2.094
1.665,2.137
1.668,2.141
1.669,2.142
1.669,2.142
1.681,2.158
1.693,2.173
1.701,2.184
1.712,2.198
1.721,2.209
1.731,2.222
1.786,2.293
1.79,2.298
1.791,2.299
1.791,2.299
1.792,2.3
1.792,2.3
1.816,2.331
1.817,2.332
1.821,2.338
1.831,2.35
1.855,2.381
1.856,2.383
1.875,2.407
1.876,2.408
1.881,2.415
1.893,2.43
1.901,2.44
1.912,2.454
1.921,2.466
1.931,2.479
1.966,2.524
1.967,2.525
1.967,2.525
1.973,2.533
1.981,2.543
1.991,2.556
2.001,2.569
2.011,2.582
2.021,2.594
2.031,2.607
2.069,2.656
2.07,2.657
2.071,2.659
2.071,2.659
2.084,2.675
2.095,2.689
2.116,2.716
2.117,2.718
2.121,2.723
2.131,2.736
2.179,2.797
2.18,2.798
2.18,2.798
2.181,2.8
2.181,2.8
2.193,2.815
