Instante,Posicao
0.0,0.0
0.008,0.012
0.016,0.024
0.026,0.04
0.043,0.065
0.046,0.07
0.056,0.085
0.066,0.1
0.09,0.137
0.091,0.138
0.096,0.146
0.106,0.161
0.116,0.176
0.126,0.191
0.142,0.216
0.146,0.222
0.156,0.237
0.166,0.252
0.193,0.293
0.194,0.295
0.196,0.298
0.206,0.313
0.216,0.328
0.226,0.343
0.238,0.362
0.246,0.374
0.256,0.389
0.266,0.404
0.29,0.441
0.291,0.442
0.296,0.45
0.306,0.465
0.316,0.48
0.326,0.495
0.336,0.511
0.346,0.526
0.356,0.541
0.366,0.556
0.382,0.581
0.409,0.622
0.41,0.623
0.411,0.625
0.423,0.643
0.426,0.647
0.442,0.672
0.446,0.678
0.456,0.693
0.466,0.708
0.479,0.728
0.487,0.74
0.497,0.755
0.506,0.769
0.516,0.784
0.526,0.799
0.541,0.822
0.546,0.83
0.556,0.845
0.566,0.86
0.586,0.891
0.587,0.892
0.596,0.906
0.606,0.921
0.616,0.936
0.626,0.951
0.636,0.967
0.646,0.982
0.656,0.997
0.666,1.012
0.691,1.05
0.691,1.05
0.696,1.058
0.707,1.074
0.716,1.088
0.727,1.105
0.738,1.122
0.746,1.134
0.756,1.149
0.766,1.164
0.789,1.199
0.79,1.201
0.797,1.211
0.807,1.226
0.816,1.24
0.826,1.255
0.841,1.278
0.846,1.286
0.856,1.301
0.866,1.316
0.89,1.353
0.891,1.354
0.897,1.363
0.907,1.378
0.916,1.392
0.927,1.409
0.94,1.429
0.946,1.438
0.956,1.453
0.966,1.468
0.99,1.505
0.991,1.506
0.997,1.515
1.007,1.53
1.016,1.544
1.026,1.559
1.042,1.584
1.046,1.59
1.056,1.605
1.066,1.62
1.09,1.657
1.091,1.658
1.096,1.666
1.107,1.682
1.116,1.696
1.126,1.711
1.142,1.736
1.146,1.742
1.156,1.757
1.166,1.772
1.189,1.807
1.19,1.809
1.196,1.818
1.208,1.836
1.216,1.848
1.226,1.863
1.24,1.884
1.246,1.894
1.256,1.909
1.266,1.924
1.294,1.967
1.294,1.967
1.296,1.97
1.309,1.989
1.316,2.0
1.326,2.015
1.341,2.038
1.346,2.046
1.356,2.061
1.366,2.076
1.392,2.116
1.413,2.147
1.416,2.152
1.424,2.164
1.424,2.164
1.428,2.17
1.441,2.19
1.446,2.198
1.456,2.213
1.466,2.228
1.48,2.249
1.49,2.264
1.503,2.284
1.506,2.289
1.516,2.304
1.526,2.319
1.541,2.342
1.546,2.35
1.556,2.365
1.566,2.38
1.586,2.41
1.587,2.412
1.596,2.426
1.607,2.442
1.617,2.457
1.627,2.473
1.642,2.495
1.646,2.502
1.656,2.517
1.666,2.532
1.684,2.559
1.686,2.562
1.696,2.578
1.706,2.593
1.716,2.608
1.726,2.623
1.74,2.644
1.746,2.653
1.756,2.669
1.766,2.684
1.791,2.722
1.792,2.723
1.799,2.734
1.806,2.745
1.816,2.76
1.826,2.775
1.836,2.79
1.846,2.805
1.856,2.821
1.866,2.836
1.889,2.871
1.89,2.872
1.899,2.886
1.906,2.897
1.916,2.912
1.926,2.927
1.937,2.944
1.946,2.957
1.956,2.973
1.966,2.988
1.991,3.026
1.992,3.027
1.996,3.033
2.006,3.049
2.016,3.064
2.026,3.079
2.036,3.094
2.046,3.109
2.056,3.125
2.066,3.14
2.092,3.179
2.093,3.181
2.096,3.185
2.106,3.201
2.116,3.216
2.126,3.231
2.138,3.249
2.146,3.261
2.156,3.277
2.166,3.292
2.191,3.33
2.192,3.331
2.196,3.337
2.207,3.354
2.216,3.368
2.226,3.383
2.238,3.401
2.246,3.413
2.256,3.429
2.266,3.444
2.284,3.471
2.287,3.476
2.296,3.489
2.312,3.514
2.316,3.52
2.327,3.536
2.339,3.555
2.346,3.565
2.356,3.581
2.366,3.596
2.398,3.644
2.421,3.679
2.421,3.679
2.422,3.681
2.422,3.681
2.429,3.691
2.442,3.711
2.446,3.717
2.456,3.733
2.466,3.748
2.491,3.786
2.492,3.787
2.501,3.801
2.506,3.809
2.516,3.824
2.526,3.839
2.54,3.86
2.546,3.869
2.556,3.884
2.566,3.9
2.596,3.945
2.597,3.947
2.598,3.948
2.607,3.962
2.616,3.976
2.626,3.991
2.637,4.008
2.646,4.021
2.656,4.036
2.666,4.052
2.697,4.099
2.697,4.099
2.698,4.1
2.71,4.119
2.716,4.128
2.726,4.143
2.737,4.16
2.746,4.173
2.756,4.188
2.766,4.204
2.794,4.246
2.794,4.246
2.796,4.249
2.807,4.266
2.816,4.28
2.826,4.295
2.84,4.316
2.846,4.325
2.856,4.34
2.866,4.356
2.883,4.381
2.905,4.415
2.906,4.416
2.907,4.418
2.916,4.432
2.926,4.447
2.937,4.464
2.946,4.477
2.956,4.492
2.966,4.508
2.992,4.547
2.993,4.549
2.996,4.553
3.006,4.568
3.016,4.584
3.026,4.599
3.042,4.623
3.046,4.629
3.056,4.644
3.068,4.663
3.093,4.701
3.094,4.702
3.096,4.705
3.106,4.72
3.116,4.736
3.126,4.751
3.137,4.767
3.146,4.781
3.156,4.796
3.166,4.812
3.198,4.86
3.199,4.862
3.199,4.862
3.207,4.874
3.216,4.888
3.226,4.903
3.241,4.926
3.246,4.933
3.256,4.948
3.266,4.964
3.296,5.001
3.297,5.002
3.297,5.002
3.307,5.014
3.316,5.025
