Instante,Posicao
0.0,0.0
0.001,0.0
0.027,0.001
0.027,0.001
0.037,0.001
0.042,0.001
0.052,0.001
0.073,0.001
0.074,0.001
0.082,0.001
0.092,0.001
0.114,0.002
0.115,0.002
0.122,0.002
0.132,0.002
0.142,0.002
0.154,0.002
0.189,0.003
0.19,0.003
0.191,0.003
0.191,0.003
0.202,0.003
0.218,0.003
0.222,0.003
0.233,0.003
0.242,0.003
0.264,0.004
0.265,0.004
0.272,0.004
0.287,0.004
0.292,0.004
0.302,0.004
0.328,0.004
0.328,0.004
0.335,0.004
0.342,0.004
0.352,0.005
0.368,0.005
0.372,0.005
0.383,0.005
0.392,0.005
0.413,0.005
0.414,0.005
0.422,0.005
0.433,0.005
0.442,0.005
0.453,0.006
0.467,0.006
0.483,0.006
0.483,0.006
0.492,0.006
0.503,0.006
0.532,0.007
0.533,0.007
0.533,0.007
0.542,0.007
0.552,0.007
0.569,0.007
0.572,0.007
0.582,0.007
0.592,0.007
0.616,0.008
0.616,0.008
0.622,0.008
0.632,0.008
0.642,0.008
0.652,0.008
0.668,0.008
0.673,0.008
0.683,0.008
0.692,0.008
0.707,0.008
0.732,0.009
0.732,0.009
0.737,0.009
0.742,0.009
0.753,0.009
0.769,0.009
0.782,0.009
0.783,0.009
0.801,0.01
0.801,0.01
0.814,0.01
0.822,0.01
0.846,0.01
0.847,0.01
0.851,0.01
0.864,0.01
0.872,0.01
0.884,0.011
0.894,0.011
0.905,0.011
0.914,0.011
0.923,0.011
0.967,0.012
0.967,0.012
0.968,0.012
0.968,0.012
0.973,0.012
0.996,0.013
0.997,0.013
1.024,0.013
1.025,0.013
1.025,0.013
1.032,0.013
1.042,0.013
1.052,0.013
1.064,0.014
1.072,0.014
1.082,0.014
1.092,0.014
1.116,0.014
1.119,0.014
1.12,0.014
1.133,0.014
1.142,0.014
1.156,0.015
1.163,0.015
1.172,0.015
1.182,0.015
1.192,0.015
1.206,0.015
1.217,0.015
1.232,0.015
1.233,0.015
1.242,0.015
1.252,0.015
1.268,0.016
1.272,0.016
1.282,0.016
1.292,0.016
1.306,0.016
1.316,0.016
1.33,0.016
1.331,0.016
1.342,0.016
1.352,0.016
1.368,0.016
1.372,0.016
1.382,0.017
1.392,0.017
1.427,0.018
1.429,0.018
1.429,0.018
1.434,0.018
1.442,0.018
1.452,0.018
1.468,0.018
1.472,0.018
1.482,0.018
1.492,0.018
1.514,0.018
1.515,0.018
1.522,0.018
1.535,0.019
1.542,0.019
1.552,0.019
1.568,0.019
